nDims,nDerived,nLive,method,N,sigma,seed,logZ,logZerr
6,0,400,Line,50,0.025,2,27.136,0.209
6,0,400,Sin,50,0.025,2,17.244,0.208
8,0,400,Line,50,0.025,2,25.61,0.218
8,0,400,Sin,50,0.025,2,17.732,0.221
10,0,400,Line,50,0.025,2,24.891,0.243
10,0,400,Sin,50,0.025,2,17.919,0.232
12,0,400,Line,50,0.025,2,23.514,0.239
12,0,400,Sin,50,0.025,2,17.317,0.243
14,0,400,Line,50,0.025,2,21.847,0.239
14,0,400,Sin,50,0.025,2,17.075,0.249
16,0,400,Line,50,0.025,2,21.603,0.252
16,0,400,Sin,50,0.025,2,15.883,0.26
18,0,400,Line,50,0.025,2,20.838,0.276
18,0,400,Sin,50,0.025,2,15.35,0.285
20,0,400,Line,50,0.025,2,20.126,0.305
20,0,400,Sin,50,0.025,2,15.123,0.3
